ID,COUNTRY,DIRECTION,COUNTY,LAT,LON,YEAR,YRGROUP,HOST,HOSTTYPE,LINEAGE,SOURCE,ID,MLG,MANMLG
IRE_85,ie,se,wicklow,53.0113,-6.3262,2010,late,rhod,shrub,eu1,nursery,IRE_85,eu1mg1,11
IRE_86,ie,se,wicklow,53.0113,-6.3262,2010,late,pieris,shrub,eu1,nursery,IRE_86,eu1mg88,188
IRE_87,ie,se,waterford,52.2583,-7.1119,2010,late,picea,contree,eu1,forest,IRE_87,eu1mg1,11
IRE_88,ie,w,tipperary,52.3543,-7.695,2010,late,fagus,brotree,eu1,forest,IRE_88,eu1mg1,11
IRE_89,ie,ne,kildare,53.1561,-6.9144,2010,late,rhod,shrub,eu1,nursery,IRE_89,eu1mg1,11
IRE_9,ie,w,cork,51.9036,-8.4684,2013,late,larix,contree,eu1,forest,IRE_9,eu1mg1,11
IRE_90,ie,w,tipperary,52.3543,-7.695,2010,late,larix,contree,eu1,forest,IRE_90,eu1mg1,11
IRE_92,ie,se,kilkenny,52.6542,-7.2522,2010,late,fagus,brotree,eu1,forest,IRE_92,eu1mg32,132
IRE_93,ie,ne,unknown,0,0,2010,late,viburnum,shrub,eu1,nursery,IRE_93,eu1mg1,11
IRE_97,ie,w,cork,51.9036,-8.4684,2010,late,larix,contree,eu1,forest,IRE_97,eu1mg5,15
IRE_98,ni,ni,antrim,54.682,-5.88,2010,late,larix,contree,eu2,forest,IRE_98,eu2mg1,21
IRE_99,ni,ni,antrim,54.682,-5.88,2010,late,larix,contree,eu2,forest,IRE_99,eu2mg1,21
PF16_11,ie,se,wicklow,53.0113,-6.3262,2016,late,rhod,shrub,eu1,forest,PF16_11,eu1mg1,11
PH15_243,ie,se,wexford,52.3369,-6.4633,2015,late,rhod,shrub,eu1,other,PH15_243,eu1mg1,11
